Polling Site ID,Kenyatta,Odinga,Nyagah,Dida,Aukot,Kaluyu,Jirongo,Mwaura
47278138600103,84,331,1,1,0,0,0,0
15070034706201,13,241,1,0,0,0,0,0
38213106404701,52,343,4,1,3,0,2,1
45264131704301,150,213,1,0,0,0,0,0
18092046103601,338,3,0,0,0,1,0,0
27142071306714,261,213,3,0,0,0,0,2
47275137301103,99,389,1,1,1,0,1,1
37200099902901,8,361,0,1,0,0,2,0
46271135608106,167,261,2,0,1,1,0,0
15074036711801,31,202,2,3,1,1,1,0
36194096908801,408,13,0,0,0,0,0,0
45262131011101,302,160,0,3,1,0,2,0
12058028707701,513,17,0,1,0,1,1,0
12054026702001,350,34,0,0,0,0,0,1
23127063708101,96,12,0,1,0,0,0,0
13061030305901,373,18,0,0,1,0,0,0
14063031101701,171,14,0,0,0,1,0,0
22120060003804,494,47,0,0,2,0,0,1
32166082600401,448,22,1,0,0,1,0,0
44258128302901,0,155,0,0,0,0,0,0
28150074602602,245,21,1,0,1,0,0,0
7032016006001,108,81,0,3,0,0,0,0
37200100003401,62,302,2,1,1,0,2,0
47281140100204,164,352,1,1,0,1,0,0
19096047700302,413,1,0,1,1,1,1,0
23126063003801,174,260,0,0,2,0,0,0
22117058402303,566,8,0,0,0,0,0,0
16079039305802,49,278,2,1,1,0,0,0
2007003405201,79,157,2,5,0,0,0,0
17088043701301,19,458,6,1,1,0,0,1
6026012703304,93,284,3,2,0,0,0,0
31163081405002,510,6,0,0,1,1,0,1
37202101307902,34,366,3,1,2,0,0,0
41237118204102,2,303,1,0,0,0,0,0
12053026203501,389,73,1,0,0,0,0,0
19098049006303,484,2,0,0,0,0,0,0
15072035608801,46,75,1,1,0,0,1,0
12057028204001,248,36,1,0,1,0,0,0
42238118600401,1,574,2,0,0,0,0,0
2010004708901,18,155,1,1,3,0,2,0
11049024100201,158,170,3,24,0,0,0,1
16078038807902,82,176,1,0,0,0,0,0
17083041515701,4,95,2,1,1,1,1,0
27143071706501,432,18,3,0,0,1,0,0
28149074100601,429,5,1,0,0,0,0,1
43250124501601,0,294,0,0,0,0,0,0
12057028909101,285,25,2,2,3,1,0,0
15070034911401,7,107,0,0,2,0,0,1
47283141100410,337,189,1,0,0,0,0,1
12059029308101,407,20,0,1,0,0,0,1
47287143201804,142,327,1,0,0,1,0,1
43245122100201,1,320,0,0,0,0,0,0
40231115301902,177,226,0,0,2,0,0,1
12051025203402,301,58,0,0,0,0,0,0
14066033006901,307,8,0,1,0,1,1,1
23125062401401,119,143,0,0,0,0,0,0
45264131602302,131,169,2,1,2,0,1,0
39218108705101,55,457,0,2,3,1,3,0
38215107402202,36,299,2,0,0,0,0,1
